name;setting;category;short_desc;extra_desc;context;vartype;source;min_val;max_val
"add_missing_from";"on";"Version and Platform Compatibility / Previous PostgreSQL Versions";"Automatically adds missing table references to FROM clauses.";"";"user";"bool";"default";"";""
"archive_command";"unset";"Write-Ahead Log / Settings";"WAL archiving command.";"The shell command that will be called to archive a WAL file.";"sighup";"string";"default";"";""
"australian_timezones";"off";"Client Connection Defaults / Locale and Formatting";"Interprets ACST, CST, EST, and SAT as Australian time zones.";"Otherwise they are interpreted as North/South American time zones and Saturday.";"user";"bool";"default";"";""
"authentication_timeout";"60";"Connections and Authentication / Security and Authentication";"Sets the maximum time in seconds to complete client authentication.";"";"sighup";"integer";"default";"1";"600"
"bgwriter_delay";"200";"Resource Usage";"Background writer sleep time between rounds in milliseconds";"";"sighup";"integer";"default";"10";"10000"
"bgwriter_maxpages";"100";"Resource Usage";"Background writer maximum number of pages to flush per round";"";"sighup";"integer";"default";"0";"1000"
"bgwriter_percent";"1";"Resource Usage";"Background writer percentage of dirty buffers to flush per round";"";"sighup";"integer";"default";"0";"100"
"block_size";"8192";"Preset Options";"Shows size of a disk block";"";"internal";"integer";"default";"8192";"8192"
"check_function_bodies";"on";"Client Connection Defaults / Statement Behavior";"Check function bodies during CREATE FUNCTION.";"";"user";"bool";"default";"";""
"checkpoint_segments";"3";"Write-Ahead Log / Checkpoints";"Sets the maximum distance in log segments between automatic WAL checkpoints.";"";"sighup";"integer";"default";"1";"2147483647"
"checkpoint_timeout";"300";"Write-Ahead Log / Checkpoints";"Sets the maximum time in seconds between automatic WAL checkpoints.";"";"sighup";"integer";"default";"30";"3600"
"checkpoint_warning";"30";"Write-Ahead Log / Checkpoints";"Logs if filling of checkpoint segments happens more frequently than this (in seconds).";"Write a message to the server log if checkpoints caused by the filling of checkpoint segment files happens more frequently than this number of seconds. Zero turns off the warning.";"sighup";"integer";"default";"0";"2147483647"
"client_encoding";"SQL_ASCII";"Client Connection Defaults / Locale and Formatting";"Sets the client's character set encoding.";"";"user";"string";"session";"";""
"client_min_messages";"notice";"Reporting and Logging / When to Log";"Sets the message levels that are sent to the client.";"Valid values are DEBUG5, DEBUG4, DEBUG3, DEBUG2, DEBUG1, LOG, NOTICE, WARNING, and ERROR. Each level includes all the levels that follow it. The later the level, the fewer messages are sent.";"user";"string";"default";"";""
"commit_delay";"0";"Write-Ahead Log / Checkpoints";"Sets the delay in microseconds between transaction commit and flushing WAL to disk.";"";"user";"integer";"default";"0";"100000"
"commit_siblings";"5";"Write-Ahead Log / Checkpoints";"Sets the minimum concurrent open transactions before performing commit_delay.";"";"user";"integer";"default";"1";"1000"
"config_file";"C:/Program Files/PostgreSQL/8.0.0-beta5/data/postgresql.conf";"File Locations";"Sets the server's main configuration file.";"";"postmaster";"string";"override";"";""
"cpu_index_tuple_cost";"0.001";"Query Tuning / Planner Cost Constants";"Sets the planner's estimate of processing cost for each index tuple (row) during index scan.";"This is measured as a fraction of the cost of a sequential page fetch.";"user";"real";"default";"0";"1.79769e+308"
"cpu_operator_cost";"0.0025";"Query Tuning / Planner Cost Constants";"Sets the planner's estimate of processing cost of each operator in WHERE.";"This is measured as a fraction of the cost of a sequential page fetch.";"user";"real";"default";"0";"1.79769e+308"
"cpu_tuple_cost";"0.01";"Query Tuning / Planner Cost Constants";"Sets the planner's estimate of the cost of processing each tuple (row).";"This is measured as a fraction of the cost of a sequential page fetch.";"user";"real";"default";"0";"1.79769e+308"
"custom_variable_classes";"unset";"Resource Usage / Kernel Resources";"Sets the list of known custom variable classes.";"";"postmaster";"string";"default";"";""
"data_directory";"C:/Program Files/PostgreSQL/8.0.0-beta5/data";"File Locations";"Sets the server's data directory.";"";"postmaster";"string";"override";"";""
"DateStyle";"ISO, MDY";"Client Connection Defaults / Locale and Formatting";"Sets the display format for date and time values.";"Also controls interpretation of ambiguous date inputs.";"user";"string";"default";"";""
"db_user_namespace";"off";"Connections and Authentication / Security and Authentication";"Enables per-database user names.";"";"sighup";"bool";"default";"";""
"deadlock_timeout";"1000";"Lock Management";"The time in milliseconds to wait on lock before checking for deadlock.";"";"sighup";"integer";"default";"0";"2147483647"
"debug_pretty_print";"off";"Reporting and Logging / What to Log";"Indents parse and plan tree displays.";"";"user";"bool";"default";"";""
"debug_print_parse";"off";"Reporting and Logging / What to Log";"Prints the parse tree to the server log.";"";"user";"bool";"default";"";""
"debug_print_plan";"off";"Reporting and Logging / What to Log";"Prints the execution plan to server log.";"";"user";"bool";"default";"";""
"debug_print_rewritten";"off";"Reporting and Logging / What to Log";"Prints the parse tree after rewriting to server log.";"";"user";"bool";"default";"";""
"debug_shared_buffers";"0";"Statistics / Monitoring";"Interval to report shared buffer status in seconds";"";"postmaster";"integer";"default";"0";"600"
"default_statistics_target";"10";"Query Tuning / Other Planner Options";"Sets the default statistics target.";"This applies to table columns that have not had a column-specific target set via ALTER TABLE SET STATISTICS.";"user";"integer";"default";"1";"1000"
"default_tablespace";"unset";"Client Connection Defaults / Statement Behavior";"Sets the default tablespace to create tables and indexes in.";"An empty string selects the database's default tablespace.";"user";"string";"default";"";""
"default_transaction_isolation";"read committed";"Client Connection Defaults / Statement Behavior";"Sets the transaction isolation level of each new transaction.";"Each SQL transaction has an isolation level, which can be either ""read uncommitted"", ""read committed"", ""repeatable read"", or ""serializable"".";"user";"string";"default";"";""
"default_transaction_read_only";"off";"Client Connection Defaults / Statement Behavior";"Sets the default read-only status of new transactions.";"";"user";"bool";"default";"";""
"default_with_oids";"on";"Version and Platform Compatibility / Previous PostgreSQL Versions";"By default, newly-created tables should have OIDs.";"";"user";"bool";"default";"";""
"dynamic_library_path";"$libdir";"Client Connection Defaults / Other Defaults";"Sets the path for dynamically loadable modules.";"If a dynamically loadable module needs to be opened and the specified name does not have a directory component (i.e., the name does not contain a slash), the system will search this path for the specified file.";"superuser";"string";"default";"";""
"effective_cache_size";"1000";"Query Tuning / Planner Cost Constants";"Sets the planner's assumption about size of the disk cache.";"That is, the portion of the kernel's disk cache that will be used for PostgreSQL data files. This is measured in disk pages, which are normally 8 kB each.";"user";"real";"default";"1";"1.79769e+308"
"enable_hashagg";"on";"Query Tuning / Planner Method Configuration";"Enables the planner's use of hashed aggregation plans.";"";"user";"bool";"default";"";""
"enable_hashjoin";"on";"Query Tuning / Planner Method Configuration";"Enables the planner's use of hash join plans.";"";"user";"bool";"default";"";""
"enable_indexscan";"on";"Query Tuning / Planner Method Configuration";"Enables the planner's use of index-scan plans.";"";"user";"bool";"default";"";""
"enable_mergejoin";"on";"Query Tuning / Planner Method Configuration";"Enables the planner's use of merge join plans.";"";"user";"bool";"default";"";""
"enable_nestloop";"on";"Query Tuning / Planner Method Configuration";"Enables the planner's use of nested-loop join plans.";"";"user";"bool";"default";"";""
"enable_seqscan";"on";"Query Tuning / Planner Method Configuration";"Enables the planner's use of sequential-scan plans.";"";"user";"bool";"default";"";""
"enable_sort";"on";"Query Tuning / Planner Method Configuration";"Enables the planner's use of explicit sort steps.";"";"user";"bool";"default";"";""
"enable_tidscan";"on";"Query Tuning / Planner Method Configuration";"Enables the planner's use of TID scan plans.";"";"user";"bool";"default";"";""
"explain_pretty_print";"on";"Client Connection Defaults / Other Defaults";"Uses the indented output format for EXPLAIN VERBOSE.";"";"user";"bool";"default";"";""
"external_pid_file";"unset";"File Locations";"Writes the postmaster PID to the specified file.";"";"postmaster";"string";"default";"";""
"extra_float_digits";"0";"Client Connection Defaults / Locale and Formatting";"Sets the number of digits displayed for floating-point values.";"This affects real, double precision, and geometric data types. The parameter value is added to the standard number of digits (FLT_DIG or DBL_DIG as appropriate).";"user";"integer";"default";"-15";"2"
"from_collapse_limit";"8";"Query Tuning / Other Planner Options";"Sets the FROM-list size beyond which subqueries are not collapsed.";"The planner will merge subqueries into upper queries if the resulting FROM list would have no more than this many items.";"user";"integer";"default";"1";"2147483647"
"fsync";"on";"Write-Ahead Log / Settings";"Forces synchronization of updates to disk.";"The server will use the fsync() system call in several places to make sure that updates are physically written to disk. This insures that a database cluster will recover to a consistent state after an operating system or hardware crash.";"sighup";"bool";"default";"";""
"geqo";"on";"Query Tuning / Genetic Query Optimizer";"Enables genetic query optimization.";"This algorithm attempts to do planning without exhaustive searching.";"user";"bool";"default";"";""
"geqo_effort";"5";"Query Tuning / Genetic Query Optimizer";"GEQO: effort is used to set the default for other GEQO parameters.";"";"user";"integer";"default";"1";"10"
"geqo_generations";"0";"Query Tuning / Genetic Query Optimizer";"GEQO: number of iterations of the algorithm.";"Zero selects a suitable default value.";"user";"integer";"default";"0";"2147483647"
"geqo_pool_size";"0";"Query Tuning / Genetic Query Optimizer";"GEQO: number of individuals in the population.";"Zero selects a suitable default value.";"user";"integer";"default";"0";"2147483647"
"geqo_selection_bias";"2";"Query Tuning / Genetic Query Optimizer";"GEQO: selective pressure within the population.";"";"user";"real";"default";"1.5";"2"
"geqo_threshold";"12";"Query Tuning / Genetic Query Optimizer";"Sets the threshold of FROM items beyond which GEQO is used.";"";"user";"integer";"default";"2";"2147483647"
"hba_file";"C:/Program Files/PostgreSQL/8.0.0-beta5/data/pg_hba.conf";"File Locations";"Sets the server's ""hba"" configuration file";"";"postmaster";"string";"override";"";""
"ident_file";"C:/Program Files/PostgreSQL/8.0.0-beta5/data/pg_ident.conf";"File Locations";"Sets the server's ""ident"" configuration file";"";"postmaster";"string";"override";"";""
"integer_datetimes";"off";"Preset Options";"Datetimes are integer based";"";"internal";"bool";"default";"";""
"join_collapse_limit";"8";"Query Tuning / Other Planner Options";"Sets the FROM-list size beyond which JOIN constructs are not flattened.";"The planner will flatten explicit inner JOIN constructs into lists of FROM items whenever a list of no more than this many items would result.";"user";"integer";"default";"1";"2147483647"
"krb_server_keyfile";"unset";"Connections and Authentication / Security and Authentication";"Sets the location of the Kerberos server key file.";"";"postmaster";"string";"default";"";""
"lc_collate";"C";"Client Connection Defaults / Locale and Formatting";"Shows the collation order locale.";"";"internal";"string";"override";"";""
"lc_ctype";"C";"Client Connection Defaults / Locale and Formatting";"Shows the character classification and case conversion locale.";"";"internal";"string";"override";"";""
"lc_messages";"C";"Client Connection Defaults / Locale and Formatting";"Sets the language in which messages are displayed.";"";"superuser";"string";"configuration file";"";""
"lc_monetary";"C";"Client Connection Defaults / Locale and Formatting";"Sets the locale for formatting monetary amounts.";"";"user";"string";"configuration file";"";""
"lc_numeric";"C";"Client Connection Defaults / Locale and Formatting";"Sets the locale for formatting numbers.";"";"user";"string";"configuration file";"";""
"lc_time";"C";"Client Connection Defaults / Locale and Formatting";"Sets the locale for formatting date and time values.";"";"user";"string";"configuration file";"";""
"listen_addresses";"*";"Connections and Authentication / Connection Settings";"Sets the host name or IP address(es) to listen to.";"";"postmaster";"string";"configuration file";"";""
"log_connections";"off";"Reporting and Logging / What to Log";"Logs each successful connection.";"";"backend";"bool";"default";"";""
"log_destination";"stderr";"Reporting and Logging / Where to Log";"Sets the destination for server log output.";"Valid values are combinations of ""stderr"", ""syslog"", and ""eventlog"", depending on the platform.";"sighup";"string";"configuration file";"";""
"log_directory";"pg_log";"Reporting and Logging / Where to Log";"Sets the destination directory for log files.";"May be specified as relative to the data directory or as absolute path.";"sighup";"string";"default";"";""
"log_disconnections";"off";"Reporting and Logging / What to Log";"Logs end of a session, including duration.";"";"backend";"bool";"default";"";""
"log_duration";"off";"Reporting and Logging / What to Log";"Logs the duration of each completed SQL statement.";"";"superuser";"bool";"default";"";""
"log_error_verbosity";"default";"Reporting and Logging / When to Log";"Sets the verbosity of logged messages.";"Valid values are ""terse"", ""default"", and ""verbose"".";"superuser";"string";"default";"";""
"log_executor_stats";"off";"Statistics / Monitoring";"Writes executor performance statistics to the server log.";"";"superuser";"bool";"default";"";""
"log_filename";"postgresql-%Y-%m-%d_%H%M%S.log";"Reporting and Logging / Where to Log";"Sets the file name pattern for log files.";"";"sighup";"string";"default";"";""
"log_hostname";"off";"Reporting and Logging / What to Log";"Logs the host name in the connection logs.";"By default, connection logs only show the IP address of the connecting host. If you want them to show the host name you can turn this on, but depending on your host name resolution setup it might impose a non-negligible performance penalty.";"sighup";"bool";"default";"";""
"log_line_prefix";"%t ";"Reporting and Logging / What to Log";"Controls information prefixed to each log line";"if blank no prefix is used";"sighup";"string";"configuration file";"";""
"log_min_duration_statement";"-1";"Reporting and Logging / When to Log";"Sets the minimum execution time in milliseconds above which statements will be logged.";"Zero prints all queries. The default is -1 (turning this feature off).";"superuser";"integer";"default";"-1";"2147483"
"log_min_error_statement";"panic";"Reporting and Logging / When to Log";"Causes all statements generating error at or above this level to be logged.";"All SQL statements that cause an error of the specified level or a higher level are logged.";"superuser";"string";"default";"";""
